Source,Target,Type,Kind,Id,Label,timeset,Weight
@sporf,@kaihavertz29,Directed,Mention,500,,"<[2021-05-29T19:46:16.919Z, 2021-05-29T19:46:30.905Z, 2021-05-29T19:47:13.995Z, 2021-05-29T19:47:18.260Z, 2021-05-29T19:47:20.162Z, 2021-05-29T19:47:54.963Z, 2021-05-29T19:49:25.419Z, 2021-05-29T19:49:38.226Z, 2021-05-29T19:51:19.979Z, 2021-05-29T19:51:25.255Z, 2021-05-29T19:51:54.117Z, 2021-05-29T19:51:55.876Z, 2021-05-29T19:52:25.166Z, 2021-05-29T19:54:04.262Z]>",14
@sporf,@chelseafc,Directed,Mention,501,,"<[2021-05-29T19:46:16.919Z, 2021-05-29T19:46:30.905Z, 2021-05-29T19:47:13.995Z, 2021-05-29T19:47:18.260Z, 2021-05-29T19:47:20.162Z, 2021-05-29T19:47:54.963Z, 2021-05-29T19:49:25.419Z, 2021-05-29T19:49:38.226Z, 2021-05-29T19:51:54.117Z]>",9
@izzatherman,@chelseafc,Directed,Quote,537,,"<[2021-05-29T19:46:17.214Z, 2021-05-29T19:49:32.281Z, 2021-05-29T19:53:55.169Z]>",3
@theobajohn,@chelseafc,Directed,Mention,544,,<[2021-05-29T19:46:17.265Z]>,1
@theobajohn,@chelseafc,Directed,Retweet,545,,<[2021-05-29T19:46:17.265Z]>,1
@ekowasmahsports,@chelseafc,Directed,Mention,571,,<[2021-05-29T19:46:18.226Z]>,1
@ekowasmahsports,@chelseafc,Directed,Retweet,572,,<[2021-05-29T19:46:18.226Z]>,1
@kennyalexander_,@championsleague,Directed,Quote,626,,<[2021-05-29T19:46:19.030Z]>,1
@bayer04_es,@kaihavertz29,Directed,Mention,639,,<[2021-05-29T19:46:19.055Z]>,1
@iamdeebliiz,@chelseafc,Directed,Mention,644,,<[2021-05-29T19:46:19.072Z]>,1
@iamdeebliiz,@chelseafc,Directed,Retweet,645,,<[2021-05-29T19:46:19.072Z]>,1
@kossyxo,@predictionhq,Directed,Mention,646,,<[2021-05-29T19:46:19.073Z]>,1
@kossyxo,@predictionhq,Directed,Retweet,647,,<[2021-05-29T19:46:19.073Z]>,1
@dribblingfutbol,@invictossomos,Directed,Mention,676,,<[2021-05-29T19:46:19.206Z]>,1
@jortega95,@chelseafc,Directed,Mention,681,,"<[2021-05-29T19:46:19.854Z, 2021-05-29T19:52:20.915Z]>",2
@jortega95,@chelseafc,Directed,Retweet,682,,<[2021-05-29T19:46:19.854Z]>,1
@aiisoncrf,@bluesofstamford,Directed,Mention,690,,<[2021-05-29T19:46:19.897Z]>,1
@aiisoncrf,@bluesofstamford,Directed,Retweet,691,,<[2021-05-29T19:46:19.897Z]>,1
@1400leakim,@actufoot_,Directed,Mention,693,,<[2021-05-29T19:46:19.914Z]>,1
@1400leakim,@rmcstory,Directed,Mention,694,,<[2021-05-29T19:46:19.914Z]>,1
@1400leakim,@actufoot_,Directed,Retweet,695,,<[2021-05-29T19:46:19.915Z]>,1
